term_id,source_language,source_term,target_language,preferred_target,rejected_or_variant,scope,status,rationale
AGT-0203,de,geordnetes s-Tupel,id-ID,s-tupel terurut,tuple-s terurut,Brenner,admitted,Preserves tuple order and the variable arity in coefficient formulas
AGT-0204,de,Nullteilerfreiheit,id-ID,tanpa pembagi nol,bebas pembagi nol,Brenner,admitted,Names the property used to prevent cancellation of leading coefficients
AGT-0205,de,Algebrahomomorphismus,id-ID,homomorfisme aljabar,pemetaan aljabar,Brenner,admitted,Preserves both the homomorphism structure and algebra category
AGT-0206,de,Hilbertscher Basissatz,id-ID,Teorema Basis Hilbert,teorema basis Hilbert,Brenner,admitted,Uses the established theorem name for Noetherian polynomial and power-series arguments
AGT-0207,de,glatte Kurve,id-ID,kurva mulus,kurva licin,Brenner,admitted,Extends the admitted smooth-point wording to curves
AGT-0208,de,konvergieren,id-ID,konvergen,memusat,Brenner,admitted,Uses standard Indonesian analysis terminology while distinguishing formal from analytic convergence
AGT-0209,de,Potenzreihenlösung,id-ID,solusi deret pangkat,solusi deret kuasa,Brenner,admitted,Names a formal power-series pair satisfying the curve equation
AGT-0210,de,Potenzreihenansatz,id-ID,pendekatan deret pangkat,ansatz deret pangkat,Brenner,admitted,Uses plain Indonesian for the coefficient-by-coefficient power-series method
AGT-0211,de,Anfangsbedingung,id-ID,syarat awal,kondisi awal,Brenner,admitted,Standard Indonesian term for prescribed constant coefficients or initial values
AGT-0212,de,einfacher Linearfaktor,id-ID,faktor linear sederhana,faktor linear bermultipisitas satu,Brenner,admitted,Preserves the multiplicity-one condition on a tangent-cone factor
AGT-0213,de,Kontaktordnung,id-ID,orde kontak,tingkat kontak,Brenner,admitted,Standard local-geometry term for the first nonzero substituted degree
AGT-0214,de,Graphenlösung,id-ID,solusi berbentuk grafik,solusi grafik,Brenner,admitted,Distinguishes a parametrized solution normalized to G(T)=T from an arbitrary formal parametrization
AGT-0215,de,Komplettierung,id-ID,kompletasi,pelengkapan,Brenner,admitted,Uses the established algebraic loanword for an inverse-limit completion and defines it at first use
AGT-0216,de,verträgliche Folge,id-ID,barisan kompatibel,keluarga kompatibel,Brenner,admitted,Names an inverse-system sequence whose residue classes agree under every transition map
AGT-0217,de,Ideal-adische Topologie,id-ID,topologi I-adik,topologi adik ideal,Brenner,admitted,Retains the named ideal I and the standard adic construction
AGT-0218,de,Umgebungsbasis,id-ID,basis lingkungan,basis persekitaran,Brenner,admitted,Standard topology term for a family generating all neighbourhoods of a point
AGT-0219,de,formale Laurentreihe mit endlichem Hauptteil,id-ID,deret Laurent formal dengan bagian utama berhingga,deret Laurent formal berbuntut negatif berhingga,Brenner,admitted,States explicitly that only finitely many negative powers occur
AGT-0220,de,Tangentenparameter,id-ID,parameter garis singgung,parameter tangen,Brenner,admitted,Names the linear coefficient pair determining the tangent direction of a formal parametrization
AGT-0221,de,Schnittmultiplizität,id-ID,multiplisitas perpotongan,multiplikitas irisan,Brenner,admitted,Uses the standard local-intersection term and keeps it distinct from the multiplicity of one curve at a point
AGT-0222,de,transversaler Schnitt,id-ID,perpotongan transversal,irisan melintang,Brenner,admitted,Names a smooth intersection whose two tangent lines are distinct
AGT-0223,de,gemeinsame Komponente,id-ID,komponen bersama,komponen sekutu,Brenner,admitted,States the component-sharing obstruction under which local intersection multiplicity is not finite
AGT-0224,de,gemeinsamer Primteiler,id-ID,pembagi prima bersama,faktor prima bersama,Brenner,admitted,Preserves the UFD formulation equivalent to two plane curves having a common component
AGT-0225,de,Restdimension,id-ID,dimensi hasil bagi,dimensi residu,Brenner,admitted,Names the finite vector-space dimension of the relevant local quotient rather than a residue-field degree
AGT-0226,de,an einem Punkt lokalisieren,id-ID,melokalkan pada titik,melokalisasi pada titik,Brenner,admitted,Uses the admitted pelokalan family for passage from the global coordinate ring to the local ring at a point
AGT-0227,de,Chinesischer Restsatz,id-ID,Teorema Sisa Cina,Teorema Residu Cina,Brenner,admitted,Uses the conventional Indonesian name for the Chinese remainder theorem
AGT-0228,de,Produktdarstellung,id-ID,dekomposisi produk,representasi produk,Brenner,admitted,Names the canonical decomposition of a zero-dimensional Noetherian ring into its local factors
AGT-0229,de,Summenformel für Schnittmultiplizität,id-ID,rumus aditivitas multiplisitas perpotongan,rumus jumlah multiplisitas perpotongan,Brenner,admitted,Highlights additivity over irreducible factors and their exponents
AGT-0230,de,projektiver Raum,id-ID,ruang proyektif,ruang projektif,Brenner,admitted,Uses the Indonesian academic geometry spelling proyektif and names the quotient of nonzero homogeneous coordinates
AGT-0231,de,homogene Koordinaten,id-ID,koordinat homogen,koordinat homogeneous,Brenner,admitted,Pairs the admitted homogen spelling with the standard coordinate term
AGT-0232,de,offene Standardüberdeckung mit affinen Räumen,id-ID,penutup terbuka standar oleh ruang afin,penyelubungan afin standar,Brenner,admitted,Names the cover by the n plus one standard affine charts D_+(X_i)
AGT-0233,de,projektive Gerade,id-ID,garis proyektif,garis projektif,Brenner,admitted,Uses garis consistently for one-dimensional projective space
AGT-0234,de,projektive Ebene,id-ID,bidang proyektif,bidang projektif,Brenner,admitted,Uses bidang consistently for two-dimensional projective space
AGT-0235,de,unendlich ferner Punkt,id-ID,titik di tak hingga,titik tak terhingga,Brenner,admitted,Uses the conventional geometric phrase for the chart-dependent point at infinity
AGT-0236,de,projektive Nullstellenmenge,id-ID,himpunan titik nol proyektif,lokus nol proyektif,Brenner,admitted,Extends the lane's titik nol terminology to a homogeneous polynomial on projective space
AGT-0237,de,projektives Nullstellengebilde,id-ID,himpunan titik nol proyektif,lokus nol proyektif,Brenner,admitted,Uses the same transparent rendering for the common zero set of a homogeneous ideal
AGT-0238,de,homogenes Ideal,id-ID,ideal homogen,ideal homogeneous,Brenner,admitted,Composes the admitted ideal and homogen terminology for a graded ideal closed under homogeneous components
AGT-0239,de,projektive Varietät,id-ID,varietas proyektif,varietas projektif,Brenner,admitted,Extends the admitted varietas afin spelling to projective zero loci
AGT-0240,de,Kegelabbildung,id-ID,pemetaan kerucut,peta kerucut,Brenner,admitted,Follows the lane convention that Abbildung maps to pemetaan for the quotient map from the punctured affine cone
AGT-0241,de,Quotiententopologie,id-ID,topologi hasil bagi,topologi kuosien,Brenner,admitted,Uses the standard Indonesian construction term for the final topology of a quotient map
AGT-0242,de,topologische Mannigfaltigkeit,id-ID,manifold topologis,lipatan topologis,Brenner,admitted,Uses the widely recognized manifold loanword and distinguishes the topological category
AGT-0243,de,Sättigung oder Saturierung,id-ID,penjenuhan atau saturasi,saturisasi,Brenner,admitted,Names the homogeneous-ideal operation by powers of the irrelevant ideal and retains the familiar loanword as an explicit synonym
AGT-0244,de,irrelevantes Ideal,id-ID,ideal irelevan,ideal tak relevan,Brenner,admitted,Uses the conventional graded-ring name for the ideal generated by all positive-degree variables
AGT-0245,de,projektiv-linearer Unterraum,id-ID,subruang linear proyektif,subruang projektif-linear,Brenner,admitted,Preserves both the linear origin in the affine cone and the projective quotient
AGT-0246,de,homogene Linearform,id-ID,bentuk linear homogen,forma linear homogen,Brenner,admitted,Uses bentuk linear for a degree-one homogeneous polynomial
AGT-0247,de,Sphäre,id-ID,sfera,permukaan bola,Brenner,admitted,Retains the precise topological sphere rather than conflating it with the solid ball
AGT-0248,de,hausdorffsch,id-ID,bersifat Hausdorff,Hausdorffian,Brenner,admitted,Uses the standard named separation property as an Indonesian predicate
AGT-0249,de,antipodale Punkte,id-ID,titik-titik antipodal,titik berseberangan pada sfera,Brenner,admitted,Names the opposite-point identification in the spherical model of real projective space
AGT-0250,de,homogener Koordinatenring,id-ID,gelanggang koordinat homogen,gelanggang koordinat bergradasi,Brenner,admitted,Extends the admitted coordinate-ring and homogeneous terminology to a projective zero locus
AGT-0251,de,quasiprojektive Varietät,id-ID,varietas kuasiprojektif,varietas semi-proyektif,Brenner,admitted,Uses the transparent loanword for an open subvariety of a projective variety
AGT-0252,de,projektiver Abschluss,id-ID,penutupan proyektif,penutup proyektif,Brenner,admitted,Names the Zariski closure of an affine variety in projective space
AGT-0253,de,projektive ebene Kurve,id-ID,kurva bidang proyektif,kurva proyektif bidang,Brenner,admitted,Uses bidang as the ambient projective plane and keeps the curve category explicit
AGT-0254,de,Fermat-Kurve,id-ID,kurva Fermat,kurva Fermat proyektif,Brenner,admitted,Uses the standard proper name for the homogeneous plane curve
AGT-0255,de,Geschlecht,id-ID,genus,jenis,Brenner,admitted,Uses the established invariant name rather than the ordinary Indonesian word for kind
AGT-0256,de,Henkel,id-ID,gagang,pegangan,Brenner,admitted,Names the topological handle in the surface classification without confusing it with genus itself
AGT-0257,de,elliptische Kurve,id-ID,kurva eliptik,kurva elliptik,Brenner,admitted,Uses the standard Indonesian spelling while recording the source's genus-one convention
AGT-0258,de,Riemannsche Fläche,id-ID,permukaan Riemann,manifold Riemann,Brenner,admitted,Uses the standard proper-name term for a one-dimensional complex manifold
AGT-0259,de,erste Kohomologiegruppe der Strukturgarbe,id-ID,grup kohomologi pertama berkas struktur,kohomologi satu berkas struktur,Brenner,admitted,Preserves both the cohomological degree and the structure-sheaf object
AGT-0260,de,globale Differentialformen,id-ID,bentuk diferensial global,forma diferensial global,Brenner,admitted,Uses bentuk diferensial consistently for global one-forms on the curve
AGT-0261,de,Projektion weg von einem Punkt,id-ID,proyeksi dari sebuah titik,proyeksi menjauhi sebuah titik,Brenner,admitted,Names projection from its center in standard geometric language
AGT-0262,de,Geradenbündel,id-ID,bundel garis,berkas garis lurus,Brenner,admitted,Preserves the geometric family-of-lines meaning without confusing it with a line bundle
AGT-0263,de,parametrisierte projektive ebene Kurve,id-ID,kurva bidang proyektif terparametrisasi,kurva bidang proyektif berparameter,Brenner,admitted,Uses the established parametrisasi family consistently with the explicit map from projective one-space
AGT-0264,de,projektive monomiale Kurve,id-ID,kurva proyektif monomial,kurva monomial projektif,Brenner,admitted,Extends the admitted monomial-curve term to the projective closure
AGT-0265,de,asymptotisch,id-ID,secara asimtotik,secara mendekati asimtot,Brenner,admitted,Uses the standard Indonesian mathematical adverb for the source geometric interpretation
AGT-0266,de,Satz von Bézout,id-ID,Teorema Bézout,dalil Bézout,Brenner,admitted,Uses the standard theorem label and preserves the proper name
AGT-0267,de,Stufe eines graduierten Rings,id-ID,komponen derajat dari gelanggang bergradasi,tingkat gelanggang bergradasi,Brenner,admitted,Names the homogeneous graded piece rather than translating Stufe as an ordering level
AGT-0268,de,exakte Sequenz,id-ID,barisan eksak,urutan eksak,Brenner,admitted,Extends the admitted short-exact-sequence term to arbitrary exact sequences
AGT-0269,de,Modulhomomorphismus,id-ID,homomorfisme modul,pemetaan linear modul,Brenner,admitted,Uses the standard algebraic homomorphism term
AGT-0270,de,Hom-Funktor,id-ID,funktor Hom,funktor homomorfisme,Brenner,admitted,Preserves the conventional named functor notation
AGT-0271,de,Schnittpunkt,id-ID,titik perpotongan,titik irisan,Brenner,admitted,Uses the established geometric term consistently with multiplisitas perpotongan
AGT-0272,de,Gesamtschnittzahl,id-ID,jumlah total multiplisitas perpotongan,jumlah titik perpotongan,Brenner,admitted,Distinguishes the multiplicity-weighted total from the number of distinct points
AGT-0273,de,Neilsche Parabel,id-ID,parabola Neil,parabola semikubik,Brenner,admitted,Preserves the source proper name for the cuspidal cubic example
AGT-0274,de,Einheitskreis,id-ID,lingkaran satuan,lingkaran unit,Brenner,admitted,Uses the standard Indonesian geometric term
AGT-0275,de,Fermat-Kubik,id-ID,kubik Fermat,kurva kubik Fermat,Brenner,admitted,Uses the standard proper-name construction for the degree-three Fermat curve
AGT-0276,de,homogener Restklassenring,id-ID,gelanggang faktor bergradasi oleh ideal homogen,gelanggang faktor homogen,Brenner,admitted,Renders the quotient structure semantically and avoids implying that every residue class is homogeneous
